net,area,cell,range,power,ERP,Optimal Radio Type
2,801,86355,1000,12,60,UMTS
2,801,1795,5716,14,70,UMTS
2,801,1794,6280,11,55,UMTS
2,801,211250,1000,21,105,UMTS
2,801,86353,1000,13,65,UMTS
2,801,86357,2400,15,75,UMTS
3,1107,83603,3102,17,85,UMTS
2,776,867,1000,8,40,UMTS
3,1107,13971,1000,12,60,UMTS
3,1107,355,1000,9,45,UMTS
3,1107,329299,3041,14,70,UMTS
3,1107,83715,1515,16,80,UMTS
2,776,165382,1000,12,60,UMTS
3,1107,213267,2968,7,35,UMTS
2,801,165397,1000,20,100,UMTS
2,776,165665,1000,23,115,UMTS
